시도,구시군,선거인수,투표수,득표수_1_열린우리당_오거돈,득표수_2_한나라당_허남식,득표수_4_민주노동당_김석준,득표수_계,무효투표수,기권수
부산광역시,합계,2845104,1378618,329470,895214,141061,1365745,12873,1466486
부산광역시,중구,43062,22768,5155,15325,2047,22527,241,20294
부산광역시,서구,112683,55046,11782,37607,5038,54427,619,57637
부산광역시,동구,89864,46773,10749,30690,4592,46031,742,43091
부산광역시,영도구,131447,63268,17638,38017,6857,62512,756,68179
부산광역시,부산진구,325963,157499,35746,103671,16643,156060,1439,168464
부산광역시,동래구,216997,107497,23133,73580,10026,106739,758,109500
부산광역시,남구,238368,116840,28203,75331,12390,115924,916,121528
부산광역시,북구,248396,117428,29620,73619,13223,116462,966,130968
부산광역시,해운대구,309668,145642,35920,93928,14637,144485,1157,164026
부산광역시,기장군,61953,36135,8326,23264,3995,35585,550,25818
부산광역시,사하구,284656,128377,33222,81442,12695,127359,1018,156279
부산광역시,금정구,209276,103941,21975,68921,11996,102892,1049,105335
부산광역시,강서구,44796,26882,7855,16267,2261,26383,499,17914
부산광역시,연제구,172349,84791,19613,55918,8557,84088,703,87558
부산광역시,수영구,143359,67640,15118,45774,6255,67147,493,75719
부산광역시,사상구,212267,98091,25415,61860,9849,97124,967,114176
