시도,구시군,선거인수,투표수,득표수_1_열린우리당_한범덕,득표수_2_한나라당_정우택,득표수_4_민주노동당_배창호,득표수_5_국민중심당_조병세,득표수_계,무효투표수,기권수
충청북도,합계,1126282,616053,185426,361157,39095,19646,605324,10729,510229
충청북도,청주시상당구,188493,89032,28260,52776,5015,2114,88165,867,99461
충청북도,청주시흥덕구,269249,121820,38846,70472,8623,2740,120681,1139,147429
충청북도,충주시,155769,83466,24287,50932,4746,2095,82060,1406,72303
충청북도,제천시,105920,60200,16169,37174,3981,1845,59169,1031,45720
충청북도,단양군,27458,19533,5643,11497,994,883,19017,516,7925
충청북도,청원군,95259,53191,18015,27833,3274,2962,52084,1107,42068
충청북도,영동군,41700,29569,9031,15383,2646,1708,28768,801,12131
충청북도,보은군,30273,22890,8833,11107,1282,1078,22300,590,7383
충청북도,옥천군,44454,31353,11522,15423,2014,1362,30321,1032,13101
충청북도,음성군,66010,38457,8678,25794,2299,1030,37801,656,27553
충청북도,진천군,46069,28091,5582,20081,1504,428,27595,496,17978
충청북도,괴산군,32511,23933,7471,12584,2052,1027,23134,799,8578
충청북도,증평군,23117,14518,3089,10101,665,374,14229,289,8599
