시도,구시군,선거인수,투표수,득표수_1_열린우리당_진대제,득표수_2_한나라당_김문수,득표수_3_민주당_박정일,득표수_4_민주노동당_김용한,득표수_계,무효투표수,기권수
경기도,합계,7918828,3695552,1124317,2181677,148409,201106,3655509,40043,4223276
경기도,수원시장안구,206015,98094,31861,56361,3366,5795,97383,711,107921
경기도,수원시권선구,217455,97485,31707,56267,2822,5838,96634,851,119970
경기도,수원시팔달구,166662,72030,22480,42829,2501,3520,71330,700,94632
경기도,수원시영통구,173454,82006,31247,45246,1653,3442,81588,418,91448
경기도,성남시수정구,206678,84853,28638,41683,7413,6071,83805,1048,121825
경기도,성남시중원구,207205,82650,26147,41203,7825,6653,81828,822,124555
경기도,성남시분당구,330404,164190,46797,107353,4380,4789,163319,871,166214
경기도,의정부시,299556,130381,41367,77107,3905,6738,129117,1264,169175
경기도,안양시만안구,204688,95595,31436,53699,4500,5055,94690,905,109093
경기도,안양시동안구,259321,134635,46671,76522,4696,5789,133678,957,124686
경기도,부천시원미구,327003,143407,41878,88972,5266,6140,142256,1151,183596
경기도,부천시소사구,170625,78660,17302,55269,2615,2808,77994,666,91965
경기도,부천시오정구,137195,53681,15818,30607,3972,2622,53019,662,83514
경기도,광명시,239187,112843,36497,61192,7718,6376,111783,1060,126344
경기도,평택시,284458,139667,37584,78709,4384,16756,137433,2234,144791
경기도,양주시,121097,61143,17730,36566,2684,3082,60062,1081,59954
경기도,동두천시,63655,33131,10518,19435,1050,1519,32522,609,30524
경기도,안산시상록구,253921,102640,33799,54662,5849,7431,101741,899,151281
경기도,안산시단원구,230496,94613,29832,51198,5398,7333,93761,852,135883
경기도,고양시덕양구,287230,130051,40606,76495,5674,6182,128957,1094,157179
경기도,고양시일산동구,162750,73926,23061,45372,2113,2903,73449,477,88824
경기도,고양시일산서구,201819,95298,30561,57838,2685,3590,94674,624,106521
경기도,과천시,43524,25790,8309,15453,617,1176,25555,235,17734
경기도,의왕시,105917,53783,17693,30792,2207,2621,53313,470,52134
경기도,구리시,140385,68671,22085,40106,2622,3232,68045,626,71714
경기도,남양주시,336528,148529,42065,89434,6389,8795,146683,1846,187999
경기도,오산시,94380,45858,14852,25582,1892,2956,45282,576,48522
경기도,화성시,223162,100402,28894,59794,2915,7550,99153,1249,122760
경기도,시흥시,271413,109489,34414,61397,6123,6487,108421,1068,161924
경기도,군포시,203276,103793,36202,57058,4155,5548,102963,830,99483
경기도,하남시,103677,52387,14718,31652,2553,2796,51719,668,51290
경기도,파주시,206376,98474,26039,63372,2775,4608,96794,1680,107902
경기도,여주군,79881,41534,10587,26199,1230,2605,40621,913,38347
경기도,이천시,140754,66688,18038,41377,2548,3648,65611,1077,74066
경기도,용인시처인구,146083,67523,20302,40745,2135,3274,66456,1067,78560
경기도,용인시수지구,196871,97153,28927,63260,1800,2690,96677,476,99718
경기도,용인시기흥구,175478,84664,27293,51321,2155,3258,84027,637,90814
경기도,안성시,119170,64428,19349,36415,1663,5865,63292,1136,54742
경기도,김포시,152704,77104,21661,48646,2766,3016,76089,1015,75600
경기도,광주시,161569,73070,20354,45080,3888,2889,72211,859,88499
경기도,포천시,117916,59905,15958,37858,1983,2883,58682,1223,58011
경기도,연천군,36970,22966,6489,13683,1056,1134,22362,604,14004
경기도,양평군,68290,42689,9225,28979,1434,2113,41751,938,25601
경기도,가평군,43630,29673,7326,18889,1034,1530,28779,894,13957
