시도,구시군,선거인수,투표수,득표수_1_열린우리당_김두관,득표수_2_한나라당_김태호,득표수_4_민주노동당_문성현,득표수_5_국민중심당_김재주,득표수_계,무효투표수,기권수
경상남도,합계,2375265,1373815,343137,852377,135823,18906,1350243,23572,1001450
경상남도,창원시,356493,184115,38627,112369,30193,1431,182620,1495,172378
경상남도,마산시,326663,171791,31539,122814,14066,1476,169895,1896,154872
경상남도,진주시,252537,145232,50737,77772,12912,1691,143112,2120,107305
경상남도,진해시,118111,70223,15379,46643,6344,751,69117,1106,47888
경상남도,통영시,102469,60728,13684,41786,3423,827,59720,1008,41741
경상남도,고성군,46167,33469,7661,21513,2686,754,32614,855,12698
경상남도,사천시,86136,57392,15408,35061,4718,962,56149,1243,28744
경상남도,김해시,315263,150966,47354,87632,12929,1213,149128,1838,164297
경상남도,밀양시,90362,58412,15879,36650,3844,825,57198,1214,31950
경상남도,거제시,142095,75632,17024,42568,14055,765,74412,1220,66463
경상남도,의령군,26675,21741,4518,13236,2163,890,20807,934,4934
경상남도,함안군,48706,34252,6619,22544,3331,767,33261,991,14454
경상남도,창녕군,52848,37285,7546,25192,2653,857,36248,1037,15563
경상남도,양산시,162544,86355,19427,56004,8191,1099,84721,1634,76189
경상남도,하동군,42978,31435,11354,16059,2284,796,30493,942,11543
경상남도,남해군,42965,32988,18947,11830,906,480,32163,825,9977
경상남도,함양군,34178,27657,6492,15797,3724,976,26989,668,6521
경상남도,산청군,30952,23787,4934,15303,2199,666,23102,685,7165
경상남도,거창군,50916,35360,4256,27893,1812,620,34581,779,15556
경상남도,합천군,46207,34995,5752,23711,3390,1060,33913,1082,11212
