시도,구시군,선거인수,투표수,득표수_1_열린우리당_최기선,득표수_2_한나라당_안상수,득표수_3_민주당_신경철,득표수_4_민주노동당_김성진,득표수_계,무효투표수,기권수
인천광역시,합계,1940403,859506,200650,526932,44339,78898,850819,8687,1080897
인천광역시,중구,72876,34796,8119,21570,1877,2764,34330,466,38080
인천광역시,동구,61515,30794,6663,18707,1483,3514,30367,427,30721
인천광역시,남구,327614,140581,31036,90299,6402,11403,139140,1441,187033
인천광역시,연수구,191076,88010,19370,57235,2892,7873,87370,640,103066
인천광역시,남동구,284121,123423,28961,73284,7794,12285,122324,1099,160698
인천광역시,부평구,425004,181447,42156,106584,11245,19942,179927,1520,243557
인천광역시,계양구,239585,100411,26480,58806,5363,8963,99612,799,139174
인천광역시,서구,271645,114473,27258,70169,6074,9834,113335,1138,157172
인천광역시,강화군,53699,35405,8071,23919,860,1700,34550,855,18294
인천광역시,옹진군,13268,10166,2536,6359,349,620,9864,302,3102
