시도,구시군,선거인수,투표수,득표수_1_열린우리당_서범석,득표수_2_한나라당_박재순,득표수_3_민주당_박준영,득표수_4_민주노동당_박웅두,득표수_계,무효투표수,기권수
전라남도,합계,1513912,973820,181756,55444,640894,68702,946796,27024,540092
전라남도,목포시,176932,88358,12717,2667,66179,5513,87076,1282,88574
전라남도,여수시,224001,122812,32665,4973,76454,6702,120794,2018,101189
전라남도,순천시,194227,105389,27461,4311,63894,7802,103468,1921,88838
전라남도,나주시,79340,55195,5955,2484,40865,4087,53391,1804,24145
전라남도,광양시,96951,58745,20925,4266,27503,5136,57830,915,38206
전라남도,담양군,41974,29475,5756,1643,19625,1621,28645,830,12499
전라남도,장성군,39626,27752,3757,1948,19383,1938,27026,726,11874
전라남도,곡성군,28138,21815,4152,1439,12768,2730,21089,726,6323
전라남도,구례군,24281,19123,4412,1118,11643,1396,18569,554,5158
전라남도,고흥군,69751,52672,8994,2733,36221,2755,50703,1969,17079
전라남도,보성군,44024,33388,3228,6864,19877,2243,32212,1176,10636
전라남도,화순군,56833,39821,4273,2542,28267,3720,38802,1019,17012
전라남도,장흥군,36549,27016,2911,1671,18806,2807,26195,821,9533
전라남도,강진군,34405,24112,3464,3247,15143,1438,23292,820,10293
전라남도,완도군,47793,35481,6858,1401,24688,1322,34269,1212,12312
전라남도,해남군,68768,50577,5673,2357,36921,3593,48544,2033,18191
전라남도,진도군,29821,22635,3159,1399,13372,3769,21699,936,7186
전라남도,영암군,48203,32079,4670,1317,23174,2078,31239,840,16124
전라남도,무안군,50427,36614,8906,1287,23714,1654,35561,1053,13813
전라남도,영광군,48577,36302,5885,2698,23017,2651,34251,2051,12275
전라남도,함평군,33051,24381,3095,1374,17197,1884,23550,831,8670
전라남도,신안군,40240,30078,2840,1705,22183,1863,28591,1487,10162
