시도,구시군,선거인수,투표수,득표수_1_열린우리당_강금실,득표수_2_한나라당_오세훈,득표수_3_민주당_박주선,득표수_4_민주노동당_김종철,득표수_5_국민중심당_임웅균,득표수_6_시민당_이귀선,득표수_7_한국의미래를준비하는당_이태희,득표수_8_무소속_백승원,득표수_계,무효투표수,기권수
서울특별시,합계,7983648,3977842,1077890,2409760,304565,117421,14111,4790,4481,13808,3946826,31016,4005806
서울특별시,종로구,134603,71240,19369,41992,6460,1945,236,110,89,265,70466,774,63363
서울특별시,중구,107164,55369,15382,32708,4609,1455,186,193,113,212,54858,511,51795
서울특별시,용산구,187461,95809,26087,58427,6970,2632,318,152,124,319,95029,780,91652
서울특별시,성동구,266956,131927,35842,77631,11971,3975,461,165,153,488,130686,1241,135029
서울특별시,광진구,293308,141079,39716,83209,11693,4070,532,228,121,443,140012,1067,152229
서울특별시,동대문구,305097,153571,40952,92583,12817,4344,482,231,171,509,152089,1482,151526
서울특별시,중랑구,332783,155626,41950,94016,12084,4711,537,236,177,656,154367,1259,177157
서울특별시,성북구,369617,183552,52218,107844,14592,5856,578,191,239,620,182138,1414,186065
서울특별시,강북구,280448,133939,37446,75788,13997,4146,428,207,187,577,132776,1163,146509
서울특별시,도봉구,291852,147638,41460,88101,11290,4542,560,113,108,450,146624,1014,144214
서울특별시,노원구,465546,239926,70050,140438,16712,8584,1009,207,346,851,238197,1729,225620
서울특별시,은평구,367295,173479,50411,100572,14237,5172,610,198,155,693,172048,1431,193816
서울특별시,서대문구,277490,137876,40422,80851,10224,4145,482,126,113,402,136765,1111,139614
서울특별시,마포구,312630,154442,46057,88818,11486,5020,527,409,178,669,153164,1278,158188
서울특별시,양천구,374034,193234,52456,117983,13345,5853,753,251,439,772,191852,1382,180800
서울특별시,강서구,430027,211567,59119,126548,15191,6529,778,241,477,888,209771,1796,218460
서울특별시,구로구,327895,164398,47384,96508,11960,5506,657,143,171,542,162871,1527,163497
서울특별시,금천구,199986,97796,28326,54833,8932,3630,432,153,129,407,96842,954,102190
서울특별시,영등포구,325010,163818,45339,98766,11705,4897,585,325,188,588,162393,1425,161192
서울특별시,동작구,328129,166416,48416,95686,14475,5034,605,149,158,526,165049,1367,161713
서울특별시,관악구,431791,210854,66667,110710,21654,8260,796,235,177,780,209279,1575,220937
서울특별시,서초구,316852,164426,33010,117293,9278,2861,545,102,98,382,163569,857,152426
서울특별시,강남구,433889,216768,39314,160646,10696,3784,566,91,80,588,215765,1003,217121
서울특별시,송파구,467011,237313,57435,155062,15940,5676,734,171,150,631,235799,1514,229698
서울특별시,강동구,356774,175779,43062,112747,12247,4794,714,163,140,550,174417,1362,180995
