시도,구시군,선거인수,투표수,득표수_1_한나라당_김문수,득표수_8_국민참여당_유시민,계_득표수,무효투표수,기권수
경기도,합계,8761840,4534771,2271492,2079892,4351384,183387,4227069
경기도,수원시장안구,218041,118498,56126,58386,114512,3986,99543
경기도,수원시권선구,229747,113478,53993,55330,109323,4155,116269
경기도,수원시팔달구,174518,85692,43066,39357,82423,3269,88826
경기도,수원시영통구,183747,101911,46917,52842,99759,2152,81836
경기도,성남시수정구,194233,92330,38249,48655,86904,5426,101903
경기도,성남시중원구,205070,97065,41382,50010,91392,5673,108005
경기도,성남시분당구,360189,208482,117016,87384,204400,4082,151707
경기도,의정부시,328299,161722,80574,73877,154451,7271,166577
경기도,안양시만안구,208176,111311,52386,54447,106833,4478,96865
경기도,안양시동안구,265963,153906,72637,76919,149556,4350,112057
경기도,부천시원미구,344875,175298,81309,88038,169347,5951,169577
경기도,부천시소사구,180161,92975,48045,41799,89844,3131,87186
경기도,부천시오정구,147313,66944,30082,33731,63813,3131,80369
경기도,광명시,254601,141118,60299,74886,135185,5933,113483
경기도,평택시,309722,157432,83870,64325,148195,9237,152290
경기도,양주시,142110,72819,40673,28662,69335,3484,69291
경기도,동두천시,72810,37833,21850,13601,35451,2382,34977
경기도,안산시상록구,275550,128329,57844,65029,122873,5456,147221
경기도,안산시단원구,247026,113164,51683,56548,108231,4933,133862
경기도,고양시덕양구,301056,157155,75521,75519,151040,6115,143901
경기도,고양시일산동구,197585,101804,51026,48177,99203,2601,95781
경기도,고양시일산서구,209252,112929,57588,52521,110109,2820,96323
경기도,과천시,54323,35675,18406,16313,34719,956,18648
경기도,의왕시,112243,64134,30956,30956,61912,2222,48109
경기도,구리시,147833,79671,40446,36229,76675,2996,68162
경기도,남양주시,404833,197862,100215,89512,189727,8135,206971
경기도,오산시,122466,60033,29183,28461,57644,2389,62433
경기도,화성시,362455,181402,89567,84749,174316,7086,181053
경기도,시흥시,292124,133757,62321,66145,128466,5291,158367
경기도,군포시,210528,119533,54862,60919,115781,3752,90995
경기도,하남시,118086,62718,33266,27024,60290,2428,55368
경기도,파주시,252147,128283,67855,53324,121179,7104,123864
경기도,여주군,85162,44845,26602,14928,41530,3315,40317
경기도,이천시,150045,76343,44079,28589,72668,3675,73702
경기도,용인시처인구,155746,76544,40926,31225,72151,4393,79202
경기도,용인시수지구,215476,121275,67565,51742,119307,1968,94201
경기도,용인시기흥구,253306,135344,67977,64354,132331,3013,117962
경기도,안성시,132734,68113,34570,28702,63272,4841,64621
경기도,김포시,174520,93630,50712,38832,89544,4086,80890
경기도,광주시,184550,90793,49097,37838,86935,3858,93757
경기도,포천시,123373,62925,37539,20753,58292,4633,60448
경기도,연천군,36674,22658,13885,6806,20691,1967,14016
경기도,양평군,75915,45984,29850,13513,43363,2621,29931
경기도,가평군,47257,31054,19477,8935,28412,2642,16203
