시도,구시군,선거인수,투표수,득표수_1_더불어민주당_양승조,득표수_2_자유한국당_이인제,득표수_6_가자코리아_차국환,득표수_계,무효투표수,기권수
충청남도,합계,1740413,1011447,615870,345577,23012,984459,26988,728966
충청남도,천안시서북구,298093,159458,117098,37427,2705,157230,2228,138635
충청남도,천안시동남구,211724,106417,69999,32706,1773,104478,1939,105307
충청남도,공주시,92935,56756,32526,21453,1128,55107,1649,36179
충청남도,보령시,87281,56352,28981,23856,1384,54221,2131,30929
충청남도,아산시,244293,129980,84978,40171,2498,127647,2333,114313
충청남도,서산시,139529,82003,49800,28417,1662,79879,2124,57526
충청남도,태안군,55792,37240,19534,14832,1146,35512,1728,18552
충청남도,금산군,46310,30788,16748,11711,1199,29658,1130,15522
충청남도,논산시,103367,62960,35905,23871,1251,61027,1933,40407
충청남도,계룡시,33093,22134,13821,7333,543,21697,437,10959
충청남도,당진시,135932,76663,45971,27035,1809,74815,1848,59269
충청남도,부여군,60334,40207,20572,17063,1021,38656,1551,20127
충청남도,서천군,48407,33965,17336,13003,1891,32230,1735,14442
충청남도,홍성군,83928,51044,29329,18884,1285,49498,1546,32884
충청남도,청양군,28741,21229,10776,8946,587,20309,920,7512
충청남도,예산군,70654,44251,22496,18869,1130,42495,1756,26403
