시도,구시군,선거인수,투표수,득표수_1_더불어민주당_오중기,득표수_2_자유한국당_이철우,득표수_3_바른미래당_권오을,득표수_5_정의당_박창호,득표수_계,무효투표수,기권수
경상북도,합계,2251538,1457539,482564,732785,143409,47250,1406008,51531,793999
경상북도,포항시북구,223110,139955,57440,64206,10354,4719,136719,3236,83155
경상북도,포항시남구,198696,119400,49535,54509,8995,3564,116603,2797,79296
경상북도,울릉군,9057,7479,2087,4222,580,255,7144,335,1578
경상북도,경주시,218273,139142,44294,73050,11842,5111,134297,4845,79131
경상북도,김천시,119511,83567,26500,45278,6606,2379,80763,2804,35944
경상북도,안동시,137423,94434,28292,40002,20806,2146,91246,3188,42989
경상북도,구미시,332873,187236,78892,82603,16234,5474,183203,4033,145637
경상북도,영주시,91447,63733,19849,31646,8040,1825,61360,2373,27714
경상북도,영천시,88000,60058,16867,32770,5494,2289,57420,2638,27942
경상북도,상주시,87109,61995,15617,36609,4728,1917,58871,3124,25114
경상북도,문경시,62685,46221,10790,26558,4816,1415,43579,2642,16464
경상북도,예천군,44218,34638,8409,19772,3646,1103,32930,1708,9580
경상북도,경산시,215139,118506,41503,58230,12452,3388,115573,2933,96633
경상북도,청도군,39294,28370,7291,17224,1748,986,27249,1121,10924
경상북도,고령군,29462,20295,5002,11598,1792,929,19321,974,9167
경상북도,성주군,40239,28866,7344,16390,2309,1274,27317,1549,11373
경상북도,칠곡군,96894,54843,21124,26215,4308,1680,53327,1516,42051
경상북도,군위군,22753,18641,3703,10754,1717,1244,17418,1223,4112
경상북도,의성군,48843,36240,7578,21030,4299,1094,34001,2239,12603
경상북도,청송군,23522,18151,4439,9506,2613,661,17219,932,5371
경상북도,영양군,15686,12905,3348,6609,1662,603,12222,683,2781
경상북도,영덕군,34366,26337,7568,15037,1827,688,25120,1217,8029
경상북도,봉화군,29582,23343,5960,11690,3434,1030,22114,1229,6239
경상북도,울진군,43356,33184,9132,17277,3107,1476,30992,2192,10172
