시도,구시군,선거인수,투표수,득표수_1_더불어민주당_이재명,득표수_2_자유한국당_남경필,득표수_3_바른미래당_김영환,득표수_5_정의당_이홍우,득표수_6_민중당_홍성규,득표수_계,무효투표수,기권수
경기도,합계,10533027,6084955,3370621,2122433,287504,151871,43098,5975527,109428,4448072
경기도,수원시장안구,202140,121951,64965,45405,5638,3050,768,119826,2125,80189
경기도,수원시권선구,342897,197363,110066,69133,8656,4787,1473,194115,3248,145534
경기도,수원시팔달구,161673,88388,44464,36057,3707,1908,552,86688,1700,73285
경기도,수원시영통구,273531,174692,98513,59730,8134,4762,873,172012,2680,98839
경기도,성남시수정구,204053,115704,71400,34928,4592,1902,822,113644,2060,88349
경기도,성남시중원구,195192,112200,70848,32910,4179,1535,916,110388,1812,82992
경기도,성남시분당구,401672,266966,141379,102110,13286,5498,989,263262,3704,134706
경기도,의정부시,366459,198518,111187,69513,8276,4593,1408,194977,3541,167941
경기도,안양시만안구,216498,129861,70458,47791,5517,3027,728,127521,2340,86637
경기도,안양시동안구,268004,174899,94546,62887,8701,5039,886,172059,2840,93105
경기도,부천시,715281,396259,229343,124420,21447,10706,2891,388807,7452,319022
경기도,광명시,270792,166883,96855,51810,9498,4554,1016,163733,3150,103909
경기도,평택시,394222,209742,112564,76374,9848,4503,1971,205260,4482,184480
경기도,양주시,171243,94177,51463,34240,3667,1930,1000,92300,1877,77066
경기도,동두천시,80603,43685,21857,17583,1857,748,497,42542,1143,36918
경기도,안산시상록구,301162,160049,91311,49098,11537,3739,1345,157030,3019,141113
경기도,안산시단원구,252537,134644,74194,44294,9225,3534,1076,132323,2321,117893
경기도,고양시덕양구,398866,232142,128755,75507,10665,11615,1422,227964,4178,166724
경기도,고양시일산동구,234054,132770,72347,44949,6905,5474,766,130441,2329,101284
경기도,고양시일산서구,222085,132848,74380,43861,6801,4946,642,130630,2218,89237
경기도,과천시,46715,32773,15579,13411,1854,1069,210,32123,650,13942
경기도,의왕시,127960,82375,43729,30285,3947,2145,664,80770,1605,45585
경기도,구리시,165295,97711,53719,35615,3827,2181,566,95908,1803,67584
경기도,남양주시,537349,294809,168295,99733,13215,6790,1756,289789,5020,242540
경기도,오산시,169638,90096,52651,28867,4254,2013,676,88461,1635,79542
경기도,화성시,551721,313790,185121,97491,15784,7207,3355,308958,4832,237931
경기도,시흥시,350586,185308,112164,55861,8342,4389,1444,182200,3108,165278
경기도,군포시,228999,144561,80443,49324,7826,3615,794,142002,2559,84438
경기도,하남시,194181,115416,62653,42956,4790,2615,560,113574,1842,78765
경기도,파주시,352518,193802,108579,65458,8699,5486,1524,189746,4056,158716
경기도,여주시,94136,55404,25085,24478,2375,1133,767,53838,1566,38732
경기도,이천시,171518,93703,47797,37536,3698,1771,822,91624,2079,77815
경기도,용인시처인구,192573,106690,55882,41681,4343,1852,736,104494,2196,85883
경기도,용인시수지구,215189,139112,71443,55326,6628,3354,529,137280,1832,76077
경기도,용인시기흥구,387109,245512,134480,90137,10347,5612,1115,241691,3821,141597
경기도,안성시,149626,82039,42960,31310,3148,1804,922,80144,1895,67587
경기도,김포시,316246,180079,101724,62059,7569,4553,1283,177188,2891,136167
경기도,광주시,287993,156147,91195,53161,5865,2706,1012,153939,2208,131846
경기도,포천시,129049,70763,33534,30022,3217,1261,896,68930,1833,58286
경기도,연천군,38497,24793,11383,10991,908,366,340,23988,805,13704
경기도,양평군,98582,60999,26225,27683,3389,1464,540,59301,1698,37583
경기도,가평군,54583,35332,15085,16448,1343,635,546,34057,1275,19251
