시도,구시군,선거인수,투표수,득표수_1_더불어민주당_송하진,득표수_2_자유한국당_신재봉,득표수_4_민주평화당_임정엽,득표수_5_정의당_권태홍,득표수_6_민중당_이광석,득표수_계,무효투표수,기권수
전라북도,합계,1527729,996504,682042,26374,184728,52496,20827,966467,30037,531225
전라북도,전주시완산구,313929,193303,121422,4205,48517,13719,2092,189955,3348,120626
전라북도,전주시덕진구,210274,130716,80531,2713,34008,9616,1721,128589,2127,79558
전라북도,군산시,223434,134447,98640,4475,17447,6656,3205,130423,4024,88987
전라북도,익산시,245566,153275,111862,3844,22976,7986,2244,148912,4363,92291
전라북도,정읍시,96002,64334,47427,1468,8792,2642,1413,61742,2592,31668
전라북도,남원시,69930,51530,37718,1532,7153,1687,1462,49552,1978,18400
전라북도,김제시,74992,51664,37736,1242,8258,1585,873,49694,1970,23328
전라북도,완주군,78531,52837,31420,1206,14548,2791,1210,51175,1662,25694
전라북도,진안군,23029,17585,11593,913,2916,827,578,16827,758,5444
전라북도,무주군,21573,17370,11348,764,2841,607,829,16389,981,4203
전라북도,장수군,20072,16591,10807,580,3060,621,608,15676,915,3481
전라북도,임실군,25942,20073,13643,774,3063,912,803,19195,878,5869
전라북도,순창군,25441,20603,14789,665,2379,624,1162,19619,984,4838
전라북도,고창군,50442,37333,27087,1045,4878,1016,1453,35479,1854,13109
전라북도,부안군,48572,34843,26019,948,3892,1207,1174,33240,1603,13729
