시도,구시군,선거인수,투표수,득표수_1_더불어민주당_변성완,득표수_2_국민의힘_박형준,득표수_3_정의당_김영진,득표수_계,무효투표수,기권수
부산광역시,합계,2916832,1432194,455901,938601,19733,1414235,17959,1484638
부산광역시,중구,38236,19127,5730,12826,268,18824,303,19109
부산광역시,서구,93426,47053,13898,31635,701,46234,819,46373
부산광역시,동구,80869,40832,12337,27173,562,40072,760,40037
부산광역시,영도구,99395,50231,17359,31130,810,49299,932,49164
부산광역시,부산진구,313025,149091,48015,97155,2184,147354,1737,163934
부산광역시,동래구,234034,116790,36349,77751,1533,115633,1157,117244
부산광역시,남구,227019,118507,38576,76951,1483,117010,1497,108512
부산광역시,북구,245787,125984,42927,80065,1598,124590,1394,119803
부산광역시,해운대구,337958,164774,50629,110375,2023,163027,1747,173184
부산광역시,기장군,143871,64268,20721,41534,1082,63337,931,79603
부산광역시,사하구,268863,126526,41288,81782,1707,124777,1749,142337
부산광역시,금정구,200445,102871,30978,68919,1603,101500,1371,97574
부산광역시,강서구,112859,51492,17528,32740,659,50927,565,61367
부산광역시,연제구,180173,92064,29400,60491,1279,91170,894,88109
부산광역시,수영구,156247,74913,21760,51378,976,74114,799,81334
부산광역시,사상구,184625,87671,28406,56696,1265,86367,1304,96954
