시도,구시군,선거인수,투표수,득표수_1_더불어민주당_노영민,득표수_2_국민의힘_김영환,득표수_계,무효투표수,기권수
충청북도,합계,1368779,692324,284166,395517,679683,12641,676455
충청북도,청주시상당구,163058,79612,33296,45312,78608,1004,83446
충청북도,청주시서원구,165453,80317,33934,45411,79345,972,85136
충청북도,청주시흥덕구,223618,98308,42745,54369,97114,1194,125310
충청북도,청주시청원구,160395,72662,32455,39209,71664,998,87733
충청북도,충주시,181044,89723,34286,53640,87926,1797,91321
충청북도,제천시,115563,62806,23887,37865,61752,1054,52757
충청북도,단양군,25692,17427,6235,10779,17014,413,8265
충청북도,영동군,41123,27150,10070,16251,26321,829,13973
충청북도,보은군,28963,19543,7199,11692,18891,652,9420
충청북도,옥천군,44686,28846,11716,16235,27951,895,15840
충청북도,음성군,81419,40618,17249,22455,39704,914,40801
충청북도,진천군,71725,34552,15709,18044,33753,799,37173
충청북도,괴산군,34674,23720,8012,14932,22944,776,10954
충청북도,증평군,31366,17040,7373,9323,16696,344,14326
