시도,구시군,선거인수,투표수,득표수_1_더불어민주당_이광재,득표수_2_국민의힘_김진태,득표수_계,무효투표수,기권수
강원도,합계,1336080,772498,347766,409461,757227,15271,563582
강원도,춘천시,244406,137765,63714,72126,135840,1925,106641
강원도,원주시,304060,157538,77841,77298,155139,2399,146522
강원도,강릉시,185804,101944,42113,58225,100338,1606,83860
강원도,동해시,76886,42047,17499,23731,41230,817,34839
강원도,삼척시,57023,37549,15807,20819,36626,923,19474
강원도,태백시,35236,22538,10288,11722,22010,528,12698
강원도,정선군,32001,22082,10570,10767,21337,745,9919
강원도,속초시,71621,37094,16266,20124,36390,704,34527
강원도,고성군,24776,16776,7164,9024,16188,588,8000
강원도,양양군,25359,16671,6749,9445,16194,477,8688
강원도,인제군,27939,18540,8612,9221,17833,707,9399
강원도,홍천군,60743,36940,15698,20504,36202,738,23803
강원도,횡성군,41777,27750,11750,15412,27162,588,14027
강원도,영월군,34371,22806,10182,12129,22311,495,11565
강원도,평창군,37372,25363,12618,12350,24968,395,12009
강원도,화천군,21055,13837,5926,7481,13407,430,7218
강원도,양구군,18552,12804,5658,6790,12448,356,5748
강원도,철원군,37099,22454,9311,12293,21604,850,14645
