시도,구시군,선거인수,투표수,득표수_1_더불어민주당_양문석,득표수_2_국민의힘_박완수,득표수_3_정의당_여영국,득표수_4_통일한국당_최진석,득표수_계,무효투표수,기권수
경상남도,합계,2804287,1497400,431569,963473,58933,12353,1466328,31072,1306887
경상남도,창원시의창구,185184,94824,23944,64989,4366,370,93669,1155,90360
경상남도,창원시성산구,212811,112825,29902,67977,13523,412,111814,1011,99986
경상남도,창원시마산합포구,156850,83924,19970,59943,2417,330,82660,1264,72926
경상남도,창원시마산회원구,159983,85597,22063,59376,2601,324,84364,1233,74386
경상남도,창원시진해구,159730,75210,22186,48889,2687,298,74060,1150,84520
경상남도,진주시,292168,155185,42182,104561,4812,999,152554,2631,136983
경상남도,통영시,106064,61244,18160,40307,1081,473,60021,1223,44820
경상남도,고성군,44745,30306,7918,20130,889,381,29318,988,14439
경상남도,사천시,93946,55534,12887,38414,1917,803,54021,1513,38412
경상남도,김해시,444484,203399,78054,115747,6166,824,200791,2608,241085
경상남도,밀양시,92419,50564,11458,35657,1622,495,49232,1332,41855
경상남도,거제시,193369,99292,36740,56119,4011,539,97409,1883,94077
경상남도,의령군,24291,18229,3504,12348,773,599,17224,1005,6062
경상남도,함안군,54125,32076,7689,21759,1194,458,31100,976,22049
경상남도,창녕군,53616,34391,6416,24896,1120,725,33157,1234,19225
경상남도,양산시,294411,138401,48969,83209,3400,724,136302,2099,156010
경상남도,하동군,39428,29113,8093,17699,1234,742,27768,1345,10315
경상남도,남해군,38538,27218,8287,16516,936,252,25991,1227,11320
경상남도,함양군,34399,26020,6152,16584,1082,815,24633,1387,8379
경상남도,산청군,31488,21927,4982,14644,1018,357,21001,926,9561
경상남도,거창군,52803,34758,7534,23781,1177,815,33307,1451,18045
경상남도,합천군,39435,27363,4479,19928,907,618,25932,1431,12072
