시도,구시군,선거인수,투표수,득표수_1_더불어민주당_박남춘,득표수_2_국민의힘_유정복,득표수_3_정의당_이정미,득표수_4_기본소득당_김한별,득표수_계,무효투표수,기권수
인천광역시,합계,2534338,1240469,545885,634250,38921,6079,1225135,15334,1293869
인천광역시,중구,124974,57362,24425,30190,1616,294,56525,837,67612
인천광역시,동구,52728,28942,11592,15595,1011,207,28405,537,23786
인천광역시,미추홀구,358612,160328,66673,86217,4487,890,158267,2061,198284
인천광역시,연수구,317883,164269,63175,90120,9133,514,162942,1327,153614
인천광역시,남동구,441226,212064,96632,106526,5647,873,209678,2386,229162
인천광역시,부평구,426463,202623,94474,99177,5740,953,200344,2279,223840
인천광역시,계양구,258156,144721,72090,66117,4158,733,143098,1623,113435
인천광역시,서구,472254,218379,101408,107661,5832,1001,215902,2477,253875
인천광역시,강화군,63147,39088,11660,24697,1002,444,37803,1285,24059
인천광역시,옹진군,18895,12693,3756,7950,295,170,12171,522,6202
