시도,구시군,선거인수,투표수,득표수_1_더불어민주당_송영길,득표수_2_국민의힘_오세훈,득표수_3_정의당_권수정,득표수_4_기본소득당_신지혜,득표수_5_무소속_김광종,득표수_계,무효투표수,기권수
서울특별시,합계,8378339,4455161,1733183,2608277,53840,12619,9000,4416919,38242,3923178
서울특별시,종로구,129816,70657,28327,40145,1151,226,167,70016,641,59159
서울특별시,중구,112039,60323,23811,34866,696,147,125,59645,678,51716
서울특별시,용산구,199061,104787,34614,67579,1354,329,192,104068,719,94274
서울특별시,성동구,251990,139761,51996,84320,1510,350,273,138449,1312,112229
서울특별시,광진구,305462,157005,62217,90734,1845,500,310,155606,1399,148457
서울특별시,동대문구,302024,156964,63157,89470,2011,461,340,155439,1525,145060
서울특별시,중랑구,348762,177701,76660,96447,1870,437,361,175775,1926,171061
서울특별시,성북구,379123,202235,85825,110962,2698,599,413,200497,1738,176888
서울특별시,강북구,268130,133390,58962,70747,1515,396,305,131925,1465,134740
서울특별시,도봉구,280913,148579,61946,83072,1457,397,290,147162,1417,132334
서울특별시,노원구,441748,245152,102771,135812,2992,625,467,242667,2485,196596
서울특별시,은평구,418387,215968,95155,114391,3059,749,472,213826,2142,202419
서울특별시,서대문구,271718,146970,61182,81312,2307,608,286,145695,1275,124748
서울특별시,마포구,324528,175023,70936,98271,3456,753,297,173713,1310,149505
서울특별시,양천구,378444,209694,82777,122449,2150,501,443,208320,1374,168750
서울특별시,강서구,504606,260947,108938,145128,3350,723,591,258730,2217,243659
서울특별시,구로구,353697,188094,78250,104643,2319,553,415,186180,1914,165603
서울특별시,금천구,212879,105833,46314,56374,1364,320,309,104681,1152,107046
서울특별시,영등포구,340017,181102,68663,107910,2185,541,344,179643,1459,158915
서울특별시,동작구,344280,187383,74678,108122,2345,548,353,186046,1337,156897
서울특별시,관악구,450180,226801,100445,119009,3545,815,579,224393,2408,223379
서울특별시,서초구,342589,191862,50545,138050,1668,395,246,190904,958,150727
서울특별시,강남구,450895,241549,58734,178621,1828,463,493,240139,1410,209346
서울특별시,송파구,569507,313297,105890,201217,2839,621,450,311017,2280,256210
서울특별시,강동구,397544,214084,80390,128626,2326,562,479,212383,1701,183460
