시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수
강원도,합계,1129859,671242,468987,190451,0,659438,11804,458617
강원도,춘천시,181938,95277,52497,41426,0,93923,1354,86661
강원도,원주시,194677,97205,62405,32931,0,95336,1869,97472
강원도,강릉시,169090,91290,72430,17571,0,90001,1289,77800
강원도,동해시,74930,42530,35744,6107,0,41851,679,32400
강원도,삼척시,59541,41665,33307,7553,0,40860,805,17876
강원도,태백시,41864,25876,20400,5075,0,25475,401,15988
강원도,정선군,37031,26016,19524,5873,0,25397,619,11015
강원도,속초시,64193,36439,26621,9175,0,35796,643,27754
강원도,고성군,26309,19349,14401,4490,0,18891,458,6960
강원도,양양군,23171,17835,13285,4093,0,17378,457,5336
강원도,인제군,23767,17621,11571,5726,0,17297,324,6146
강원도,홍천군,54536,34941,21183,13092,0,34275,666,19595
강원도,횡성군,34890,24341,14535,9411,0,23946,395,10549
강원도,영월군,36015,24223,18007,5803,0,23810,413,11792
강원도,평창군,35201,24566,18469,5662,0,24131,435,10635
강원도,화천군,18356,13745,8754,4762,0,13516,229,4611
강원도,양구군,16725,12306,7814,4229,0,12043,263,4419
강원도,철원군,37625,26017,18040,7472,0,25512,505,11608
