시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수
경상북도,합계,2044215,1234095,1028080,0,174472,1202552,31543,810120
경상북도,포항시북구,178954,95784,82300,0,11615,93915,1869,83170
경상북도,포항시남구,186347,97807,82806,0,13093,95899,1908,88540
경상북도,울릉군,7630,6638,5598,0,917,6515,123,992
경상북도,경주시,210873,125634,107442,0,15084,122526,3108,85239
경상북도,김천시,110853,71347,59870,0,9741,69611,1736,39506
경상북도,안동시,136401,91196,74904,0,13742,88646,2550,45205
경상북도,구미시,231648,100996,83514,0,15633,99147,1849,130652
경상북도,영주시,95784,65654,55417,0,8555,63972,1682,30130
경상북도,영천시,90206,52940,41805,0,9466,51271,1669,37266
경상북도,상주시,93241,65470,53263,0,10269,63532,1938,27771
경상북도,문경시,65540,45672,38039,0,6402,44441,1231,19868
경상북도,예천군,45747,36029,29611,0,5104,34715,1314,9718
경상북도,경산시,156933,72949,62484,0,8888,71372,1577,83984
경상북도,청도군,41318,31519,27730,0,2946,30676,843,9799
경상북도,고령군,28715,20300,16330,0,3350,19680,620,8415
경상북도,성주군,39468,29400,24066,0,4539,28605,795,10068
경상북도,군위군,25115,17757,14772,0,2287,17059,698,7358
경상북도,칠곡군,75068,41436,33796,0,6692,40488,948,33632
경상북도,의성군,59218,41296,34112,0,6007,40119,1177,17922
경상북도,청송군,26233,20823,16856,0,3283,20139,684,5410
경상북도,영덕군,39419,28748,23307,0,4587,27894,854,10671
경상북도,영양군,17695,14157,11274,0,2448,13722,435,3538
경상북도,봉화군,32564,24175,19639,0,3791,23430,745,8389
경상북도,울진군,49245,36368,29145,0,6033,35178,1190,12877
