시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수
경상남도,합계,2227548,1259142,920706,208641,106367,1235714,23428,968406
경상남도,창원시,343825,166981,111414,29630,24139,165183,1798,176844
경상남도,마산시,316267,153345,118410,20247,12621,151278,2067,162922
경상남도,진주시,242187,143459,108529,23928,8679,141136,2323,98728
경상남도,진해시,99953,60998,47057,8519,4555,60131,867,38955
경상남도,통영시,98533,56062,44164,7425,3347,54936,1126,42471
경상남도,고성군,48212,35870,25987,5946,3085,35018,852,12342
경상남도,사천시,88130,52361,40529,7984,2807,51320,1041,35769
경상남도,김해시,245332,104406,71692,25517,5753,102962,1444,140926
경상남도,밀양시,92677,56158,43482,7519,3947,54948,1210,36519
경상남도,거제시,122843,64911,44722,11535,7336,63593,1318,57932
경상남도,의령군,27257,21960,15466,3249,2522,21237,723,5297
경상남도,함안군,49783,34890,26704,4557,2794,34055,835,14893
경상남도,창녕군,55267,39261,29946,4948,3394,38288,973,16006
경상남도,양산시,140020,71640,52942,11049,6207,70198,1442,68380
경상남도,하동군,45075,33979,22907,7739,2393,33039,940,11096
경상남도,남해군,45555,34413,18977,12501,2138,33616,797,11142
경상남도,함양군,35259,27401,19997,3947,2737,26681,720,7858
경상남도,산청군,32447,25794,18498,4251,2332,25081,713,6653
경상남도,거창군,51415,37529,28562,4811,2980,36353,1176,13886
경상남도,합천군,47511,37724,30721,3339,2601,36661,1063,9787
