시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수
인천광역시,합계,1809907,711602,393932,225210,82111,701253,10349,1098305
인천광역시,중구,56476,27197,15627,8295,2740,26662,535,29279
인천광역시,동구,57370,28452,16071,8484,3261,27816,636,28918
인천광역시,남구,317337,124830,71928,37404,13645,122977,1853,192507
인천광역시,연수구,174043,67745,40332,19621,6982,66935,810,106298
인천광역시,남동구,286397,105918,56823,33644,14082,104549,1369,180479
인천광역시,부평구,391526,148406,78925,47685,19995,146605,1801,243120
인천광역시,계양구,226315,79673,45748,25930,7157,78835,838,146642
인천광역시,서구,237302,85958,46138,27657,10928,84723,1235,151344
인천광역시,강화군,51913,34626,17134,14150,2370,33654,972,17287
인천광역시,옹진군,11228,8797,5206,2340,951,8497,300,2431
