시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수
충청북도,합계,1126282,616053,361157,185426,58741,605324,10729,510229
충청북도,청주시상당구,188493,89032,52776,28260,7129,88165,867,99461
충청북도,청주시흥덕구,269249,121820,70472,38846,11363,120681,1139,147429
충청북도,충주시,155769,83466,50932,24287,6841,82060,1406,72303
충청북도,제천시,105920,60200,37174,16169,5826,59169,1031,45720
충청북도,단양군,27458,19533,11497,5643,1877,19017,516,7925
충청북도,청원군,95259,53191,27833,18015,6236,52084,1107,42068
충청북도,영동군,41700,29569,15383,9031,4354,28768,801,12131
충청북도,보은군,30273,22890,11107,8833,2360,22300,590,7383
충청북도,옥천군,44454,31353,15423,11522,3376,30321,1032,13101
충청북도,음성군,66010,38457,25794,8678,3329,37801,656,27553
충청북도,진천군,46069,28091,20081,5582,1932,27595,496,17978
충청북도,괴산군,32511,23933,12584,7471,3079,23134,799,8578
충청북도,증평군,23117,14518,10101,3089,1039,14229,289,8599
