시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수
강원도,합계,1255469,781359,369201,381338,15774,766313,15046,474110
강원도,춘천시,220197,131007,50016,77737,1857,129610,1397,89190
강원도,원주시,257088,142997,64877,73995,2442,141314,1683,114091
강원도,강릉시,176430,104326,60251,40526,1736,102513,1813,72104
강원도,동해시,75796,45629,23041,20786,942,44769,860,30167
강원도,삼척시,61597,42406,20875,18782,1514,41171,1235,19191
강원도,태백시,40070,27089,13097,12746,449,26292,797,12981
강원도,속초시,66777,39108,18718,18821,694,38233,875,27669
강원도,고성군,26235,19179,9569,8480,596,18645,534,7056
강원도,양양군,23787,17549,8761,7967,383,17111,438,6238
강원도,인제군,26601,19690,8642,9978,476,19096,594,6911
강원도,홍천군,59010,38566,17292,19274,1066,37632,934,20444
강원도,횡성군,38345,26256,13029,11985,652,25666,590,12089
강원도,영월군,34273,23290,11646,10556,517,22719,571,10983
강원도,평창군,37156,25407,13145,11218,506,24869,538,11749
강원도,화천군,20458,14550,6563,7190,378,14131,419,5908
강원도,양구군,19118,14482,6250,7422,403,14075,407,4636
강원도,철원군,38500,25441,12353,11784,607,24744,697,13059
