시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수
경기도,합계,9679317,5156691,2524981,2481824,0,5006805,149886,4522626
경기도,수원시장안구,236664,135841,64235,68152,0,132387,3454,100823
경기도,수원시권선구,230904,121183,58441,59901,0,118342,2841,109721
경기도,수원시팔달구,203541,105744,54133,48962,0,103095,2649,97797
경기도,수원시영통구,240776,142435,58276,81424,0,139700,2735,98341
경기도,성남시수정구,191794,97639,43871,50514,0,94385,3254,94155
경기도,성남시중원구,211683,109445,49739,55787,0,105526,3919,102238
경기도,성남시분당구,389934,241915,123412,114263,0,237675,4240,148019
경기도,의정부시,345708,171491,86274,80456,0,166730,4761,174217
경기도,안양시만안구,205999,113522,56134,54398,0,110532,2990,92477
경기도,안양시동안구,280346,168487,78311,86376,0,164687,3800,111859
경기도,부천시원미구,358453,188538,84259,99347,0,183606,4932,169915
경기도,부천시소사구,187946,99946,45879,51284,0,97163,2783,88000
경기도,부천시오정구,152304,70351,31681,36284,0,67965,2386,81953
경기도,광명시,278037,158332,67520,86198,0,153718,4614,119705
경기도,평택시,347609,171360,94395,70899,0,165294,6066,176249
경기도,양주시,155368,79267,43164,33414,0,76578,2689,76101
경기도,동두천시,78452,39840,22616,15302,0,37918,1922,38612
경기도,안산시상록구,299910,144770,64437,75485,0,139922,4848,155140
경기도,안산시단원구,261100,124880,56336,64616,0,120952,3928,136220
경기도,고양시덕양구,333205,180211,86542,88974,0,175516,4695,152994
경기도,고양시일산동구,226556,121054,57360,60734,0,118094,2960,105502
경기도,고양시일산서구,229735,128294,59921,65400,0,125321,2973,101441
경기도,과천시,55781,37348,18442,17936,0,36378,970,18433
경기도,의왕시,127246,76051,36356,37967,0,74323,1728,51195
경기도,구리시,149953,80637,39001,38521,0,77522,3115,69316
경기도,남양주시,484298,239611,118274,115329,0,233603,6008,244687
경기도,오산시,155953,75406,35569,37501,0,73070,2336,80547
경기도,화성시,395351,201710,94621,100506,0,195127,6583,193641
경기도,시흥시,306248,146938,68647,73960,0,142607,4331,159310
경기도,군포시,225898,131916,59309,69496,0,128805,3111,93982
경기도,하남시,118266,65360,35301,28066,0,63367,1993,52906
경기도,파주시,313844,162765,83026,73317,0,156343,6422,151079
경기도,여주시,89340,47027,29493,15557,0,45050,1977,42313
경기도,이천시,159733,82477,45590,32901,0,78491,3986,77256
경기도,용인시처인구,170458,83925,46712,34382,0,81094,2831,86533
경기도,용인시수지구,231496,136238,68171,65866,0,134037,2201,95258
경기도,용인시기흥구,321010,181644,85336,92713,0,178049,3595,139366
경기도,안성시,144454,74600,40542,30646,0,71188,3412,69854
경기도,김포시,248144,133058,68424,61162,0,129586,3472,115086
경기도,광주시,231073,112844,57969,51532,0,109501,3343,118229
경기도,포천시,127417,64915,39490,22131,0,61621,3294,62502
경기도,연천군,38253,22624,13699,7717,0,21416,1208,15629
경기도,양평군,87602,51827,32752,16634,0,49386,2441,35775
경기도,가평군,51475,33225,21321,9814,0,31135,2090,18250
