시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수
충청남도,합계,1740413,1011447,345577,615870,23012,984459,26988,728966
충청남도,천안시서북구,298093,159458,37427,117098,2705,157230,2228,138635
충청남도,천안시동남구,211724,106417,32706,69999,1773,104478,1939,105307
충청남도,공주시,92935,56756,21453,32526,1128,55107,1649,36179
충청남도,보령시,87281,56352,23856,28981,1384,54221,2131,30929
충청남도,아산시,244293,129980,40171,84978,2498,127647,2333,114313
충청남도,서산시,139529,82003,28417,49800,1662,79879,2124,57526
충청남도,태안군,55792,37240,14832,19534,1146,35512,1728,18552
충청남도,금산군,46310,30788,11711,16748,1199,29658,1130,15522
충청남도,논산시,103367,62960,23871,35905,1251,61027,1933,40407
충청남도,계룡시,33093,22134,7333,13821,543,21697,437,10959
충청남도,당진시,135932,76663,27035,45971,1809,74815,1848,59269
충청남도,부여군,60334,40207,17063,20572,1021,38656,1551,20127
충청남도,서천군,48407,33965,13003,17336,1891,32230,1735,14442
충청남도,홍성군,83928,51044,18884,29329,1285,49498,1546,32884
충청남도,청양군,28741,21229,8946,10776,587,20309,920,7512
충청남도,예산군,70654,44251,18869,22496,1130,42495,1756,26403
