시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수
부산광역시,합계,2916832,1432194,938601,455901,19733,1414235,17959,1484638
부산광역시,중구,38236,19127,12826,5730,268,18824,303,19109
부산광역시,서구,93426,47053,31635,13898,701,46234,819,46373
부산광역시,동구,80869,40832,27173,12337,562,40072,760,40037
부산광역시,영도구,99395,50231,31130,17359,810,49299,932,49164
부산광역시,부산진구,313025,149091,97155,48015,2184,147354,1737,163934
부산광역시,동래구,234034,116790,77751,36349,1533,115633,1157,117244
부산광역시,남구,227019,118507,76951,38576,1483,117010,1497,108512
부산광역시,북구,245787,125984,80065,42927,1598,124590,1394,119803
부산광역시,해운대구,337958,164774,110375,50629,2023,163027,1747,173184
부산광역시,기장군,143871,64268,41534,20721,1082,63337,931,79603
부산광역시,사하구,268863,126526,81782,41288,1707,124777,1749,142337
부산광역시,금정구,200445,102871,68919,30978,1603,101500,1371,97574
부산광역시,강서구,112859,51492,32740,17528,659,50927,565,61367
부산광역시,연제구,180173,92064,60491,29400,1279,91170,894,88109
부산광역시,수영구,156247,74913,51378,21760,976,74114,799,81334
부산광역시,사상구,184625,87671,56696,28406,1265,86367,1304,96954
