시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수
전라북도,합계,1532133,745354,128828,591510,0,720338,25016,786779
전라북도,전주시완산구,311508,125313,23509,99377,0,122886,2427,186195
전라북도,전주시덕진구,238934,96938,19377,75741,0,95118,1820,141996
전라북도,군산시,224926,87125,12003,73109,0,85112,2013,137801
전라북도,익산시,239077,107245,20682,83134,0,103816,3429,131832
전라북도,정읍시,93307,54283,7960,44026,0,51986,2297,39024
전라북도,남원시,69007,44516,7046,35477,0,42523,1993,24491
전라북도,김제시,72358,42668,7114,33765,0,40879,1789,29690
전라북도,완주군,78284,41408,7144,32573,0,39717,1691,36876
전라북도,진안군,22634,16616,2796,13062,0,15858,758,6018
전라북도,무주군,21279,16268,3381,11971,0,15352,916,5011
전라북도,장수군,19380,14590,2216,11607,0,13823,767,4790
전라북도,임실군,24346,17636,3024,13689,0,16713,923,6710
전라북도,순창군,23898,18594,3265,14230,0,17495,1099,5304
전라북도,고창군,47581,34662,4935,27811,0,32746,1916,12919
전라북도,부안군,45614,27492,4376,21938,0,26314,1178,18122
