시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,득표수_계,무효투표수,기권수
서울특별시,합계,8378339,4455161,2608277,1733183,75459,4416919,38242,3923178
서울특별시,종로구,129816,70657,40145,28327,1544,70016,641,59159
서울특별시,중구,112039,60323,34866,23811,968,59645,678,51716
서울특별시,용산구,199061,104787,67579,34614,1875,104068,719,94274
서울특별시,성동구,251990,139761,84320,51996,2133,138449,1312,112229
서울특별시,광진구,305462,157005,90734,62217,2655,155606,1399,148457
서울특별시,동대문구,302024,156964,89470,63157,2812,155439,1525,145060
서울특별시,중랑구,348762,177701,96447,76660,2668,175775,1926,171061
서울특별시,성북구,379123,202235,110962,85825,3710,200497,1738,176888
서울특별시,강북구,268130,133390,70747,58962,2216,131925,1465,134740
서울특별시,도봉구,280913,148579,83072,61946,2144,147162,1417,132334
서울특별시,노원구,441748,245152,135812,102771,4084,242667,2485,196596
서울특별시,은평구,418387,215968,114391,95155,4280,213826,2142,202419
서울특별시,서대문구,271718,146970,81312,61182,3201,145695,1275,124748
서울특별시,마포구,324528,175023,98271,70936,4506,173713,1310,149505
서울특별시,양천구,378444,209694,122449,82777,3094,208320,1374,168750
서울특별시,강서구,504606,260947,145128,108938,4664,258730,2217,243659
서울특별시,구로구,353697,188094,104643,78250,3287,186180,1914,165603
서울특별시,금천구,212879,105833,56374,46314,1993,104681,1152,107046
서울특별시,영등포구,340017,181102,107910,68663,3070,179643,1459,158915
서울특별시,동작구,344280,187383,108122,74678,3246,186046,1337,156897
서울특별시,관악구,450180,226801,119009,100445,4939,224393,2408,223379
서울특별시,서초구,342589,191862,138050,50545,2309,190904,958,150727
서울특별시,강남구,450895,241549,178621,58734,2784,240139,1410,209346
서울특별시,송파구,569507,313297,201217,105890,3910,311017,2280,256210
서울특별시,강동구,397544,214084,128626,80390,3367,212383,1701,183460
