시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
충청남도,합계,1397105,785742,251005,0,508796,0,759801,25941,611363
충청남도,천안시,299432,126601,48169,0,74741,0,122910,3691,172831
충청남도,공주시,98876,63126,13237,0,48033,0,61270,1856,35750
충청남도,보령시,85349,54816,14094,0,39142,0,53236,1580,30533
충청남도,아산시,135721,67878,22147,0,43398,0,65545,2333,67843
충청남도,금산군,48654,31078,7740,0,21909,0,29649,1429,17576
충청남도,연기군,60903,36324,9793,0,25493,0,35286,1038,24579
충청남도,논산시,122118,60890,15016,0,43755,0,58771,2119,61228
충청남도,부여군,68327,46428,9130,0,35761,0,44891,1537,21899
충청남도,서천군,55805,37802,10536,0,25308,0,35844,1958,18003
충청남도,홍성군,69735,44988,15993,0,27266,0,43259,1729,24747
충청남도,청양군,30631,22842,5676,0,16521,0,22197,645,7789
충청남도,예산군,75093,44201,21359,0,21708,0,43067,1134,30892
충청남도,서산시,106635,58756,24492,0,32469,0,56961,1795,47879
충청남도,태안군,51119,34711,14792,0,18664,0,33456,1255,16408
충청남도,당진군,88707,55301,18831,0,34628,0,53459,1842,33406
