시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
전라남도,합계,1533059,1006148,51504,563545,0,360484,975533,30615,526911
전라남도,목포시,169428,81949,2234,48314,0,29595,80143,1806,87479
전라남도,여수시,224680,128464,5123,73429,0,46766,125318,3146,96216
전라남도,순천시,185581,102005,4062,55386,0,39700,99148,2857,83576
전라남도,나주시,80868,56762,2914,33315,0,18628,54857,1905,24106
전라남도,광양시,91773,54956,4620,31800,0,17035,53455,1501,36817
전라남도,담양군,42009,31362,1201,20837,0,8453,30491,871,10647
전라남도,장성군,41952,30339,1402,22468,0,5727,29597,742,11613
전라남도,곡성군,30366,24338,1182,14162,0,8182,23526,812,6028
전라남도,구례군,25437,20009,976,11588,0,6891,19455,554,5428
전라남도,고흥군,76860,59156,2333,23982,0,30971,57286,1870,17704
전라남도,보성군,46226,34316,1597,16009,0,15613,33219,1097,11910
전라남도,화순군,59518,37531,2010,21050,0,13136,36196,1335,21987
전라남도,장흥군,39139,30151,1735,15637,0,11861,29233,918,8988
전라남도,강진군,36728,27461,4259,14265,0,8078,26602,859,9267
전라남도,완도군,49558,38051,2277,21495,0,12687,36459,1592,11507
전라남도,해남군,72342,53655,2865,28642,0,20158,51665,1990,18687
전라남도,진도군,31753,25424,1095,12423,0,10701,24219,1205,6329
전라남도,영암군,48526,34684,2180,18958,0,12471,33609,1075,13842
전라남도,무안군,52292,37247,1965,22315,0,11731,36011,1236,15045
전라남도,영광군,52290,39842,2406,23219,0,13091,38716,1126,12448
전라남도,함평군,34499,25561,1168,16066,0,7569,24803,758,8938
전라남도,신안군,41234,32885,1900,18185,0,11440,31525,1360,8349
