시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
서울특별시,합계,7665343,3510898,1819057,1496754,128981,34313,3479105,31793,4154445
서울특별시,종로구,141157,72241,37592,30353,2817,689,71451,790,68916
서울특별시,중구,110996,56999,28220,25799,1767,516,56302,697,53997
서울특별시,용산구,186438,89215,47878,36435,3178,823,88314,901,97223
서울특별시,성동구,259275,122030,60188,54742,4700,1184,120814,1216,137245
서울특별시,광진구,288387,128061,65409,56266,4225,1121,127021,1040,160326
서울특별시,동대문구,293982,139856,71954,59919,4982,1592,138447,1409,154126
서울특별시,중랑구,328660,141503,72168,60936,4980,1873,139957,1546,187157
서울특별시,성북구,344694,159058,78071,70160,6843,2405,157479,1579,185636
서울특별시,강북구,272559,119468,56515,55030,5163,1520,118228,1240,153091
서울특별시,도봉구,267451,124314,64873,52444,4805,1159,123281,1033,143137
서울특별시,노원구,460769,211967,109154,89265,9131,2478,210028,1939,248802
서울특별시,은평구,350617,151137,74992,68205,5110,1527,149834,1303,199480
서울특별시,서대문구,278561,130630,64427,58347,5218,1368,129360,1270,147931
서울특별시,마포구,289743,135246,68734,58877,5005,1294,133910,1336,154497
서울특별시,양천구,346434,160414,83781,68555,5550,1342,159228,1186,186020
서울특별시,강서구,381647,167978,86854,71587,6182,1776,166399,1579,213669
서울특별시,구로구,310210,143329,72117,63245,5292,1350,142004,1325,166881
서울특별시,금천구,190719,86245,41021,39563,3689,1113,85386,859,104474
서울특별시,영등포구,307394,142502,71838,63394,4668,1302,141202,1300,164892
서울특별시,동작구,310691,143859,71970,64416,5100,1134,142620,1239,166832
서울특별시,관악구,409461,183886,81318,89971,9077,1682,182048,1838,225575
서울특별시,서초구,298380,141811,87696,48345,4100,786,140927,884,156569
서울특별시,강남구,405494,185026,116377,60740,5680,1089,183886,1140,220468
서울특별시,송파구,478923,217204,120256,86871,6627,1734,215488,1716,261719
서울특별시,강동구,352701,156919,85654,63289,5092,1456,155491,1428,195782
