시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
경상북도,합계,2087709,1284342,961363,290358,0,0,1251721,32621,803367
경상북도,포항시북구,190449,105458,78490,25052,0,0,103542,1916,84991
경상북도,포항시남구,191369,106552,76190,28285,0,0,104475,2077,84817
경상북도,울릉군,8429,7197,5034,1978,0,0,7012,185,1232
경상북도,경주시,210980,126368,99188,24020,0,0,123208,3160,84612
경상북도,김천시,110274,75345,59700,13759,0,0,73459,1886,34929
경상북도,안동시,134448,86104,63435,20188,0,0,83623,2481,48344
경상북도,구미시,269226,132377,98851,31617,0,0,130468,1909,136849
경상북도,영주시,93247,63459,48518,13339,0,0,61857,1602,29788
경상북도,영천시,86235,55405,37956,15816,0,0,53772,1633,30830
경상북도,상주시,88983,63161,47741,13414,0,0,61155,2006,25822
경상북도,문경시,62743,45426,35909,8244,0,0,44153,1273,17317
경상북도,예천군,42780,33333,25693,6502,0,0,32195,1138,9447
경상북도,경산시,175092,86525,67371,17373,0,0,84744,1781,88567
경상북도,청도군,39951,29829,22708,6176,0,0,28884,945,10122
경상북도,고령군,28906,20678,15279,4704,0,0,19983,695,8228
경상북도,성주군,38867,27061,20333,5787,0,0,26120,941,11806
경상북도,칠곡군,82468,44214,32355,10846,0,0,43201,1013,38254
경상북도,군위군,23767,18447,13338,4387,0,0,17725,722,5320
경상북도,의성군,55083,41615,31453,8735,0,0,40188,1427,13468
경상북도,청송군,24481,18778,12710,5375,0,0,18085,693,5703
경상북도,영양군,17011,13680,9033,4124,0,0,13157,523,3331
경상북도,영덕군,37578,27226,20243,6156,0,0,26399,827,10352
경상북도,봉화군,30652,23132,16850,5627,0,0,22477,655,7520
경상북도,울진군,44690,32972,22985,8854,0,0,31839,1133,11718
