시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
부산광역시,합계,2932179,1629167,797926,0,0,777225,1575151,54016,1303012
부산광역시,중구,41868,23404,12576,0,0,10057,22633,771,18464
부산광역시,서구,102694,55778,29893,0,0,24088,53981,1797,46916
부산광역시,동구,83350,47730,25288,0,0,20693,45981,1749,35620
부산광역시,영도구,115944,60321,30436,0,0,27462,57898,2423,55623
부산광역시,부산진구,329022,180227,88196,0,0,85731,173927,6300,148795
부산광역시,동래구,229691,130592,64409,0,0,62544,126953,3639,99099
부산광역시,남구,241177,137349,66903,0,0,66081,132984,4365,103828
부산광역시,북구,251760,139860,65060,0,0,69774,134834,5026,111900
부산광역시,해운대구,342080,188267,91704,0,0,91013,182717,5550,153813
부산광역시,기장군,107360,62794,29611,0,0,30625,60236,2558,44566
부산광역시,사하구,285319,152223,74278,0,0,72657,146935,5288,133096
부산광역시,금정구,212138,120177,59797,0,0,56557,116354,3823,91961
부산광역시,강서구,59758,35024,16332,0,0,17199,33531,1493,24734
부산광역시,연제구,174407,99853,48384,0,0,48616,97000,2853,74554
부산광역시,수영구,149975,82961,41788,0,0,39210,80998,1963,67014
부산광역시,사상구,205636,112607,53271,0,0,54918,108189,4418,93029
