시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
경상남도,합계,2658347,1589673,913162,559367,79015,0,1551544,38129,1068674
경상남도,창원시의창구,204523,114829,59480,47216,6020,0,112716,2113,89694
경상남도,창원시성산구,185723,111830,50723,52430,7033,0,110186,1644,73893
경상남도,창원시마산합포구,151800,87780,58522,24933,2756,0,86211,1569,64020
경상남도,창원시마산회원구,175918,102205,63561,33392,3673,0,100626,1579,73713
경상남도,창원시진해구,139286,77939,45520,27864,3079,0,76463,1476,61347
경상남도,진주시,268027,165372,99871,50316,11916,0,162103,3269,102655
경상남도,통영시,111561,67447,43751,18819,3146,0,65716,1731,44114
경상남도,고성군,47887,32026,19165,10011,1705,0,30881,1145,15861
경상남도,사천시,94250,63316,40192,17624,3469,0,61285,2031,30934
경상남도,김해시,398293,215277,101147,104577,6448,0,212172,3105,183016
경상남도,밀양시,91584,57972,37634,15739,2812,0,56185,1787,33612
경상남도,거제시,184572,99983,51133,39825,6587,0,97545,2438,84589
경상남도,의령군,25981,20115,12394,5027,1586,0,19007,1108,5866
경상남도,함안군,55705,37580,23366,11035,1935,0,36336,1244,18125
경상남도,창녕군,54614,33411,24387,6754,1124,0,32265,1146,21203
경상남도,양산시,222151,119878,66496,46611,4535,0,117642,2236,102273
경상남도,하동군,43174,33867,19048,10826,2289,0,32163,1704,9307
경상남도,남해군,41331,31268,19517,8351,1843,0,29711,1557,10063
경상남도,함양군,34540,26343,16577,6912,1769,0,25258,1085,8197
경상남도,산청군,31442,21553,13918,5404,1368,0,20690,863,9889
경상남도,거창군,52077,36296,23031,9653,2012,0,34696,1600,15781
경상남도,합천군,43908,33386,23729,6048,1910,0,31687,1699,10522
