시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
경기도,합계,11497206,5820631,2818680,2827593,61778,54758,5762809,57822,5676575
경기도,수원시장안구,199204,106092,49817,53333,1039,869,105058,1034,93112
경기도,수원시권선구,352407,173856,80304,88562,1808,1580,172254,1602,178551
경기도,수원시팔달구,164086,79283,38931,37937,833,724,78425,858,84803
경기도,수원시영통구,296856,160556,75184,81109,1577,1647,159517,1039,136300
경기도,성남시수정구,208907,106922,49669,53684,1373,964,105690,1232,101985
경기도,성남시중원구,185468,94477,41860,49268,1411,820,93359,1118,90991
경기도,성남시분당구,404133,250683,140622,104254,1728,2677,249281,1402,153450
경기도,의정부시,400177,187916,89731,92465,2084,1742,186022,1894,212261
경기도,안양시만안구,208936,111050,53271,54630,1068,904,109873,1177,97886
경기도,안양시동안구,265101,155858,74669,77230,1350,1432,154681,1177,109243
경기도,부천시,702974,347502,154942,182163,4072,2826,344003,3499,355472
경기도,광명시,247233,139612,63270,72415,1420,1108,138213,1399,107621
경기도,평택시,478356,208218,104256,96908,2438,2231,205833,2385,270138
경기도,양주시,197751,95175,46797,45206,1100,920,94023,1152,102576
경기도,동두천시,81074,39750,20853,17338,515,394,39100,650,41324
경기도,안산시상록구,305390,138968,62496,72030,1684,1289,137499,1469,166422
경기도,안산시단원구,266229,121621,55679,61954,1560,1090,120283,1338,144608
경기도,고양시덕양구,461775,241090,111350,121343,4209,2055,238957,2133,220685
경기도,고양시일산동구,229024,117269,58884,55015,1130,1365,116394,875,111755
경기도,고양시일산서구,233891,125052,60788,61038,1066,1148,124040,1012,108839
경기도,과천시,65220,42668,23042,18126,635,530,42333,335,22552
경기도,의왕시,138928,80575,38873,39383,815,741,79812,763,58353
경기도,구리시,164045,88191,43098,42564,826,764,87252,939,75854
경기도,남양주시,610260,299336,143096,147630,2775,2715,296216,3120,310924
경기도,오산시,190375,83231,38577,42038,903,782,82300,931,107144
경기도,화성시,711229,336743,153636,173747,3360,3167,333910,2833,374486
경기도,시흥시,431352,195139,84897,104762,2071,1590,193320,1819,236213
경기도,군포시,231192,128263,58979,65647,1281,1191,127098,1165,102929
경기도,하남시,266856,139747,69943,66362,1058,1232,138595,1152,127109
경기도,파주시,403729,187129,87769,93171,2209,1801,184950,2179,216600
경기도,여주시,98333,50666,30015,18598,614,519,49746,920,47667
경기도,이천시,188563,88738,47937,37422,1048,942,87349,1389,99825
경기도,용인시처인구,222743,105135,54483,47234,1128,1014,103859,1276,117608
경기도,용인시수지구,231983,135909,71578,61235,868,1477,135158,751,96074
경기도,용인시기흥구,434819,241266,117246,118199,1855,2342,239642,1624,193553
경기도,안성시,163518,81764,42168,36515,1059,826,80568,1196,81754
경기도,김포시,392604,195865,98054,92596,1784,1802,194236,1629,196739
경기도,광주시,329651,152145,75812,72344,1331,1310,150797,1348,177506
경기도,포천시,131980,67777,36951,27683,929,765,66328,1449,64203
경기도,연천군,37898,22800,12886,8541,395,367,22189,611,15098
경기도,양평군,107165,63429,36357,24692,718,634,62401,1028,43736
경기도,가평군,55791,33165,19910,11222,651,462,32245,920,22626
