시도,구시군,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
인천광역시,합계,2534338,1240469,634250,545885,45000,0,1225135,15334,1293869
인천광역시,중구,124974,57362,30190,24425,1910,0,56525,837,67612
인천광역시,동구,52728,28942,15595,11592,1218,0,28405,537,23786
인천광역시,미추홀구,358612,160328,86217,66673,5377,0,158267,2061,198284
인천광역시,연수구,317883,164269,90120,63175,9647,0,162942,1327,153614
인천광역시,남동구,441226,212064,106526,96632,6520,0,209678,2386,229162
인천광역시,부평구,426463,202623,99177,94474,6693,0,200344,2279,223840
인천광역시,계양구,258156,144721,66117,72090,4891,0,143098,1623,113435
인천광역시,서구,472254,218379,107661,101408,6833,0,215902,2477,253875
인천광역시,강화군,63147,39088,24697,11660,1446,0,37803,1285,24059
인천광역시,옹진군,18895,12693,7950,3756,465,0,12171,522,6202
