지역,선거년도,선거종류,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
서울,1992,대선,7235830,6021311,2167298,2246636,1456961,80882,5951777,69534,1214519
부산,1992,대선,2506539,2135546,1551473,265055,273889,24972,2115389,20157,370993
대구,1992,대선,1458247,1172636,690245,90641,361782,15525,1158193,14443,285611
인천,1992,대선,1321616,1081011,397361,338538,314067,16322,1066288,14723,240605
광주,1992,대선,745270,685797,14504,652337,11045,2714,680600,5197,59473
대전,1992,대선,705227,582613,202137,165067,199133,8066,574403,8210,122614
경기,1992,대선,4270726,3502774,1254025,1103498,1043795,50077,3451395,51379,767952
강원,1992,대선,990821,834891,340528,127265,338856,13606,820255,14636,155930
충북,1992,대선,894837,750483,281678,191743,249511,13239,736171,14312,144354
충남,1992,대선,1191541,973070,351789,271921,308660,20084,952454,20616,218471
전북,1992,대선,1276931,1126597,63175,991483,46330,11362,1112350,14247,150334
전남,1992,대선,1445165,1285110,53360,1170398,34944,11321,1270023,15087,160055
경북,1992,대선,1876635,1559478,991424,147440,368869,23904,1531637,27841,317157
경남,1992,대선,2437338,2118601,1514043,193373,358241,27933,2093590,25011,318737
제주,1992,대선,319824,265252,104292,85889,65770,4933,260884,4368,54572
서울,1997,대선,7358547,5926743,2394309,2627308,833156,0,5854773,71970,1431804
부산,1997,대선,2692311,2124010,1117069,320178,657159,0,2094406,29604,568301
대구,1997,대선,1707338,1347018,965607,166576,196905,0,1329088,17930,360320
인천,1997,대선,1639655,1311512,470560,497839,324212,0,1292611,18901,328143
광주,1997,대선,870554,783025,13294,754159,7746,0,775199,7826,87529
대전,1997,대선,881474,692821,199266,307493,176134,0,682893,9928,188653
울산,1997,대선,654125,530459,268998,80751,174014,0,523763,6696,123666
경기,1997,대선,5707087,4600005,1612108,1781577,1141839,0,4535524,64481,1107082
강원,1997,대선,1077853,846596,358921,197438,274584,0,830943,15653,231257
충북,1997,대선,1015921,805496,243210,295666,250940,0,789816,15680,210425
충남,1997,대선,1330627,1023990,235457,483093,282648,0,1001198,22792,306637
전북,1997,대선,1391537,1190190,53114,1078957,37118,0,1169189,21001,201347
전남,1997,대선,1519292,1325731,41534,1231726,28576,0,1301836,23895,193561
경북,1997,대선,1988379,1574454,953360,210403,375845,0,1539608,34846,413925
경남,1997,대선,2094036,1681584,908808,182102,557104,0,1648014,33570,412452
제주,1997,대선,361680,278999,100103,111009,62465,0,273577,5422,82681
서울,2002,대선,7670682,5475715,2447376,2792957,203657,0,5443990,31725,2194967
부산,2002,대선,2786142,1983492,1314274,587946,66873,0,1969093,14399,802650
대구,2002,대선,1827162,1299968,1002164,240745,46000,0,1288909,11059,527194
인천,2002,대선,1824905,1236447,547205,611766,68845,0,1227816,8631,588458
광주,2002,대선,967222,755398,26869,715182,9365,0,751416,3982,211824
대전,2002,대선,998541,675029,266760,369046,34040,0,669846,5183,323512
울산,2002,대선,729645,510496,267737,178584,60001,0,506322,4174,219149
경기,2002,대선,6944934,4831412,2120191,2430193,247622,0,4798006,33406,2113522
강원,2002,대선,1131168,773560,400405,316722,45810,0,762937,10623,357608
충북,2002,대선,1079642,734385,311044,365623,48495,0,725162,9223,345257
충남,2002,대선,1398762,922882,375110,474531,60177,0,909818,13064,475880
전북,2002,대선,1427135,1064744,65334,966053,23413,0,1054800,9944,362391
전남,2002,대선,1521109,1161511,53074,1070506,22740,0,1146320,15191,359598
경북,2002,대선,2044285,1463664,1056446,311358,70134,0,1437938,25726,580621
경남,2002,대선,2249044,1628033,1083564,434642,86538,0,1604744,23289,621011
제주,2002,대선,391151,268227,105744,148423,10632,0,264799,3428,122924
서울,2007,대선,8051696,5066022,2689162,1237812,528169,596226,5051369,14653,2985674
부산,2007,대선,2843063,1765231,1018715,236708,157510,346319,1759252,5979,1077832
대구,2007,대선,1896866,1267969,876719,75932,82828,228199,1263678,4291,628897
인천,2007,대선,2005874,1210220,593283,286565,142452,183057,1205357,4863,795654
광주,2007,대선,1031333,663338,56875,527588,54569,22520,661552,1786,367995
대전,2007,대선,1098977,680264,246008,159700,76283,195957,677948,2316,418713
울산,2007,대선,806423,521216,279891,70736,77054,90905,518586,2630,285207
경기,2007,대선,8222124,5035641,2603443,1181936,561286,670742,5017407,18234,3186483
강원,2007,대선,1164655,728895,376004,136668,83729,127102,723503,5392,435760
충북,2007,대선,1146102,702593,289499,165637,78210,162750,696096,6497,443509
충남,2007,대선,1532751,924039,313693,192999,104554,304259,915505,8534,608712
전북,2007,대선,1425056,957575,86149,777236,54437,34630,952452,5123,467481
전남,2007,대선,1500831,971461,88834,757309,81918,34790,962851,8610,529370
경북,2007,대선,2097394,1437209,1033957,96822,98167,195526,1424472,12737,660185
경남,2007,대선,2416351,1549070,843662,189463,170719,329486,1533330,15740,867281
제주,2007,대선,414022,252111,96495,81570,33962,37495,249522,2589,161911
서울,2012,대선,8393847,6307869,3024572,3227639,0,24488,6276699,31170,2085978
부산,2012,대선,2911700,2219699,1324159,882511,0,6735,2213405,6294,692001
대구,2012,대선,1990746,1585806,1267789,309034,0,5017,1581840,3966,404940
인천,2012,대선,2241366,1657821,852600,794213,0,6153,1652966,4855,583545
광주,2012,대선,1117781,898416,69574,823737,0,2275,895586,2830,219365
대전,2012,대선,1182321,904367,450576,448310,0,2992,901878,2489,277954
울산,2012,대선,886061,694938,413977,275451,0,3005,692433,2505,191123
세종,2012,대선,87707,64990,33587,30787,0,323,64697,293,22717
경기,2012,대선,9364077,7018577,3528915,3442084,0,25724,6996723,21854,2345500
강원,2012,대선,1235647,911988,562876,340870,0,4508,908254,3734,323659
충북,2012,대선,1234832,925778,518442,398907,0,4704,922053,3725,309054
충남,2012,대선,1601751,1168095,658928,497630,0,6378,1162936,5159,433656
전북,2012,대선,1483402,1142133,150315,980322,0,5938,1136575,5558,341269
전남,2012,대선,1530012,1171210,116296,1038347,0,8316,1162959,8251,358802
경북,2012,대선,2185987,1710122,1375164,316659,0,9688,1701511,8611,475865
경남,2012,대선,2608874,2008683,1259174,724896,0,10701,1994771,13912,600191
제주,2012,대선,451731,330967,166184,161235,0,1916,329335,1632,120764
서울,2017,대선,8382999,6590646,1365285,2781345,2418337,3950,6568917,21729,1792353
부산,2017,대선,2950224,2261633,720484,872127,657942,2156,2252709,8924,688591
대구,2017,대선,2043276,1581347,714205,342620,516050,1501,1574376,6971,461929
인천,2017,대선,2409031,1820091,379191,747090,685001,1681,1812963,7128,588940
광주,2017,대선,1166901,957321,14882,583847,355489,614,954832,2489,209580
대전,2017,대선,1220602,945897,191376,404545,345622,758,942301,3596,274705
울산,2017,대선,941093,744960,203602,282794,254040,926,741362,3598,196133
세종,2017,대선,189421,152801,23211,77767,51124,135,152237,564,36620
경기,2017,대선,10262309,7916009,1637345,3319812,2923935,6553,7887645,28364,2346300
강원,2017,대선,1287173,955885,284909,324768,339609,1350,950636,5249,331288
충북,2017,대선,1303688,975441,255502,374806,338904,1347,970559,4882,328247
충남,2017,대선,1711912,1240204,306614,476661,449009,1662,1233946,6258,471708
전북,2017,대선,1525626,1205794,40231,778747,379955,2070,1201003,4791,319832
전남,2017,대선,1572838,1238738,30221,737921,461305,2965,1232412,6326,334100
경북,2017,대선,2249984,1711627,827237,369726,501764,2499,1701226,10401,538357
경남,2017,대선,2744633,2135055,790491,779731,549150,3267,2122639,12416,609578
제주,2017,대선,518000,374459,68063,169493,134300,556,372412,2047,143541
서울,2022,대선,8346647,6501831,3255747,2944981,238411,0,6439139,62692,1844816
부산,2022,대선,2921510,2200224,1270072,831896,78210,0,2180178,20046,721286
대구,2022,대선,2046714,1611512,1199888,345045,51873,0,1596806,14706,435202
인천,2022,대선,2519225,1883504,878560,913320,75174,0,1867054,16450,635721
광주,2022,대선,1209206,985492,124511,830058,24032,0,978601,6891,223714
대전,2022,대선,1233177,945308,464060,434950,37391,0,936401,8907,287869
울산,2022,대선,942210,735461,396321,297134,34935,0,728390,7071,206749
세종,2022,대선,288895,231832,101491,119349,9051,0,229891,1941,57063
경기,2022,대선,11433288,8763727,3965341,4428151,297884,0,8691376,72351,2669561
강원,2022,대선,1333621,1015458,544980,419644,41216,0,1005840,9618,318163
충북,2022,대선,1365033,1020649,511921,455853,42435,0,1010209,10440,344384
충남,2022,대선,1796474,1324660,670283,589991,51839,0,1312113,12547,471814
전북,2022,대선,1533125,1235212,176809,1016863,31747,0,1225419,9793,297913
전남,2022,대선,1581278,1282168,145549,1094872,31195,0,1271616,10552,299110
경북,2022,대선,2273028,1774284,1278922,418371,60403,0,1757696,16588,498744
경남,2022,대선,2809907,2146882,1237346,794130,92868,0,2124344,22538,663025
제주,2022,대선,564354,409649,173014,213130,19094,0,405238,4411,154705
서울,2025,대선,8293885,6641606,2738405,3105459,739246,5998,6589108,52498,1652279
부산,2025,대선,2865552,2245755,1146238,895213,186662,2099,2230212,15543,619797
대구,2025,대선,2049078,1643051,1103913,379130,147907,1362,1632312,10739,406027
인천,2025,대선,2619348,2035355,776952,1044295,197482,2098,2020827,14528,583993
광주,2025,대선,1194471,1002149,79937,844682,70871,934,996424,5725,192322
대전,2025,대선,1241882,977609,393549,470321,104629,1109,969608,8001,264273
울산,2025,대선,934509,747950,353180,315820,72476,899,742375,5575,186559
세종,2025,대선,307067,254695,83965,140620,27965,235,252785,1910,52372
경기,2025,대선,11715343,9297448,3504620,4821148,900509,8356,9234633,62815,2417895
강원,2025,대선,1327019,1029407,483360,449161,88126,1137,1021784,7623,297612
충북,2025,대선,1379142,1065558,457065,501990,97153,1228,1057436,8122,313584
충남,2025,대선,1839339,1397521,600108,661316,123985,1519,1386928,10593,441818
전북,2025,대선,1510908,1246099,134996,1023272,78022,1719,1238009,8090,264809
전남,2025,대선,1559431,1303365,110624,1111941,70174,2104,1294843,8522,256066
경북,2025,대선,2213614,1747364,1159594,442683,129978,1788,1734043,13321,466250
경남,2025,대선,2776028,2179989,1123843,851733,183388,2678,2161642,18347,596039
제주,2025,대선,565255,421576,145290,228729,43100,528,417647,3929,143679
서울,2002,지선,7665343,3510898,1819057,1496754,128981,34313,3479105,31793,4154445
부산,2002,지선,2784721,1163040,729589,221938,192594,0,1144121,18919,1621681
대구,2002,지선,1814278,751994,452943,0,0,287396,740339,11655,1062284
인천,2002,지선,1809907,711602,393932,225210,82111,0,701253,10349,1098305
광주,2002,지선,954481,403821,43695,185938,29427,138088,397148,6673,550660
대전,2002,지선,987180,417809,191832,0,165426,54225,411483,6326,569371
울산,2002,지선,722806,378121,197772,0,174875,0,372647,5474,344685
경기,2002,지선,6777575,3024844,1744291,1075243,168357,0,2987891,36953,3752731
강원,2002,지선,1129859,671242,468987,190451,0,0,659438,11804,458617
충북,2002,지선,1076451,600550,343546,0,196253,46459,586258,14292,475901
충남,2002,지선,1397105,785742,251005,0,508796,0,759801,25941,611363
전북,2002,지선,1431722,787135,63661,571650,0,131320,766631,20504,644587
전남,2002,지선,1533059,1006148,51504,563545,0,360484,975533,30615,526911
경북,2002,지선,2044215,1234095,1028080,0,0,174472,1202552,31543,810120
경남,2002,지선,2227548,1259142,920706,208641,106367,0,1235714,23428,968406
제주,2002,지선,387982,267479,119502,135283,8373,0,263158,4321,120503
서울,2006,지선,7983648,3977842,2409760,1077890,445368,13808,3946826,31016,4005806
부산,2006,지선,2845104,1378618,895214,329470,141061,0,1365745,12873,1466486
대구,2006,지선,1885043,915060,636057,191131,44261,35232,906681,8379,969983
인천,2006,지선,1940403,859506,526932,200650,123237,0,850819,8687,1080897
광주,2006,지선,1014620,469316,18461,157756,288501,0,464718,4598,545304
대전,2006,지선,1077468,532568,231489,217273,79279,0,528041,4527,544900
울산,2006,지선,790289,417200,261361,47579,104384,0,413324,3876,373089
경기,2006,지선,7918828,3695552,2181677,1124317,349515,0,3655509,40043,4223276
강원,2006,지선,1160977,681633,471613,148302,48411,0,668326,13307,479344
충북,2006,지선,1126282,616053,361157,185426,58741,0,605324,10729,510229
충남,2006,지선,1503240,838462,379420,178169,261671,0,819260,19202,664778
전북,2006,지선,1429632,827387,62922,389436,357563,0,809921,17466,602245
전남,2006,지선,1513912,973820,55444,181756,709596,0,946796,27024,540092
경북,2006,지선,2087709,1284342,961363,290358,0,0,1251721,32621,803367
경남,2006,지선,2375265,1373815,852377,343137,154729,0,1350243,23572,1001450
제주,2006,지선,411862,277003,112774,44334,0,117244,274352,2651,134859
서울,2010,지선,8211461,4426182,2086127,2059715,251830,0,4397672,28510,3785279
부산,2010,지선,2849895,1410126,770507,619565,0,0,1390072,20054,1439769
대구,2010,지선,1928835,886035,633118,146458,88599,0,868175,17860,1042800
인천,2010,지선,2096853,1067431,469040,556902,30838,0,1056780,10651,1029422
광주,2010,지선,1064913,529901,74490,297003,151990,0,523483,6418,535012
대전,2010,지선,1127547,596683,168616,137751,285196,0,591563,5120,530864
울산,2010,지선,838805,462103,279421,0,176693,0,456114,5989,376702
경기,2010,지선,8761840,4534771,2271492,0,2079892,0,4351384,183387,4227069
강원,2010,지선,1190509,741724,326111,388443,0,0,714554,27170,448785
충북,2010,지선,1183811,696393,313646,349913,19551,0,683110,13283,487418
충남,2010,지선,1595587,901863,154723,367288,347265,0,869271,32587,693724
전북,2010,지선,1442805,856111,151064,569980,108886,0,829930,26181,586694
전남,2010,지선,1504902,967338,123548,629984,168801,0,922333,45005,537564
경북,2010,지선,2122905,1260591,913812,143347,155361,0,1212520,48071,862314
경남,2010,지선,2506393,1549690,705986,0,0,812336,1518322,31368,956703
제주,2010,지선,424098,276056,0,48186,0,218947,267133,8923,148042
서울,2014,지선,8441594,4948897,2109869,2752171,41241,0,4903281,45616,3492697
부산,2014,지선,2932179,1629167,797926,0,0,777225,1575151,54016,1303012
대구,2014,지선,2012579,1052638,581175,418891,23779,14774,1038619,14019,959941
인천,2014,지선,2319198,1244502,615077,593555,22651,0,1231283,13219,1074696
광주,2014,지선,1138418,650008,21614,367203,27985,217915,634717,15291,488410
대전,2014,지선,1207972,652671,301389,322762,20355,0,644506,8165,555301
울산,2014,지선,912325,511881,306311,0,161843,0,468154,43727,400444
세종,2014,지선,101559,63629,26451,36203,0,0,62654,975,37930
경기,2014,지선,9679317,5156691,2524981,2481824,0,0,5006805,149886,4522626
강원,2014,지선,1255469,781359,369201,381338,15774,0,766313,15046,474110
충북,2014,지선,1261119,741049,346152,361115,18590,0,725857,15192,520070
충남,2014,지선,1644554,916206,392315,465994,0,34204,892513,23693,728348
전북,2014,지선,1503242,900029,177172,599654,89337,0,866163,33866,603213
전남,2014,지선,1549440,1015688,92549,755233,120868,0,968650,47038,533752
경북,2014,지선,2211734,1314925,986989,189603,93067,0,1269659,45266,896809
경남,2014,지선,2658347,1589673,913162,559367,79015,0,1551544,38129,1068674
제주,2014,지선,467182,293323,172793,99493,15846,0,288132,5191,173859
서울,2018,지선,8380947,5019098,1158487,2619497,1183888,0,4961872,57226,3361849
부산,2018,지선,2939046,1727684,632806,940469,102801,26720,1702796,24888,1211362
대구,2018,지선,2047286,1172279,619165,458112,74955,0,1152232,20047,875007
인천,2018,지선,2440779,1349084,470937,766186,91526,0,1328649,20435,1091695
광주,2018,지선,1172429,694252,34487,573995,74228,0,682710,11542,478177
대전,2018,지선,1219513,706983,224306,393354,79622,0,697282,9701,512530
울산,2018,지선,942550,610698,240475,317341,42210,0,600026,10672,331852
세종,2018,지선,222852,137603,24546,96896,14444,0,135886,1717,85249
경기,2018,지선,10533027,6084955,2122433,3370621,482473,0,5975527,109428,4448072
강원,2018,지선,1296196,819193,282456,518447,0,0,800903,18290,477003
충북,2018,지선,1318186,782316,227371,468750,70330,0,766451,15865,535870
충남,2018,지선,1740413,1011447,345577,615870,23012,0,984459,26988,728966
전북,2018,지선,1527729,996504,26374,682042,258051,0,966467,30037,531225
전남,2018,지선,1577224,1092107,40287,807902,199816,0,1048005,44102,485117
경북,2018,지선,2251538,1457539,732785,482564,190659,0,1406008,51531,793999
경남,2018,지선,2765485,1819391,765809,941491,75418,0,1782718,36673,946094
제주,2018,지선,532515,350943,11241,137901,17207,178255,344604,6339,181572
서울,2022,지선,8378339,4455161,2608277,1733183,66459,9000,4416919,38242,3923178
부산,2022,지선,2916832,1432194,938601,455901,19733,0,1414235,17959,1484638
대구,2022,지선,2044579,883141,685159,156429,28446,0,870034,13107,1161438
인천,2022,지선,2534338,1240469,634250,545885,45000,0,1225135,15334,1293869
광주,2022,지선,1206886,454516,71062,334699,24414,0,446770,7746,752370
대전,2022,지선,1233557,612639,310035,295555,0,0,605590,7049,620918
울산,2022,지선,941189,491866,290563,195430,0,0,485993,5873,449323
세종,2022,지선,292259,149751,78415,69995,0,0,148410,1341,142508
경기,2022,지선,11497206,5820631,2818680,2827593,61778,54758,5762809,57822,5676575
강원,2022,지선,1336080,772498,409461,347766,0,0,757227,15271,563582
충북,2022,지선,1368779,692324,395517,284166,0,0,679683,12641,676455
충남,2022,지선,1803096,898369,468658,401308,0,0,869966,28403,904727
전북,2022,지선,1532133,745354,128828,591510,0,0,720338,25016,786779
전남,2022,지선,1580098,923347,167020,672433,48336,0,887789,35558,656751
경북,2022,지선,2268707,1194595,904675,255775,0,0,1160450,34145,1074112
경남,2022,지선,2804287,1497400,963473,431569,71286,0,1466328,31072,1306887
제주,2022,지선,565084,300139,116786,163116,5750,10138,295790,4349,264945
